mid,uid,content,retweets,comments,star,time
4995637260851024,3171256063,"【🔥ChatGPT为Megan想了一个全套应对方案
】
ChatGPT说：""如果我是Megan，面对Nicki的这波热辣攻势，我得来点既机智又有趣的回应，不能让这场较量变成单调的对峙。🌪️🎤
1. 发行反击单曲：我会制作一首反击单曲，不仅歌词要机智有力，而且风格上要和Nicki截然不同，展现我的独特魅力。可能会给这首歌起个讽刺的名字，比如《Big Heart》或者《Not Just a Foot》。
2. 推特对决：在Twitter上发起一场“战争”，用幽默和智慧回击Nicki的言论。比如回复说：“听了Nicki的《Big Foot》，我决定去做个足底按摩，感谢她提醒我照顾好自己！👣💆‍♀️ SelfCare”
3. 制作搞笑视频：在TikTok或Instagram上发布一段搞笑视频，模仿Nicki的风格，但用夸张的手法来表现，向大家展示即使在争执中，我也能保持轻松和幽默的心态。
4. 慈善活动：举办一场慈善活动，宣称每次Nicki提到我的名字，我就会为某个慈善机构捐款。这样一来，她每一次攻击都会转化为对社会的善举。
5. 与粉丝互动：发起一个社交媒体挑战，让粉丝们来提供最有趣的回复Nicki的方式。这样不仅可以让粉丝参与进来，也可以从中收集一些灵感。
当然，这一切都得在保持艺人形象和专业态度的基础上进行。毕竟，即使是在冲突中，也要保持风度和创意，让这场较量成为一场风趣的交流，而不是令人不快的争斗。😏🌟""
#麻辣鸡开撕megan#

#chatgpt#

#GPT4为何会颠覆现有工作流#", 142, 80,1737,01月29日 21:50
5004272983084403,6444741184,"从零开始学习大语言模型（一）
做了一期大语言模型教程，不要299，也不要199，关注免费更新。
#免费AI课程#

#chatgpt#
#Sora#

L
林亦LYi的微博视频", 109, 14,221,02月22日 17:45
4997285800837908,3171256063,"【ChatGPT辣评🌶】“认为文科没用的人，可能正是因为缺乏文科的教育，才看不到文科的价值所在！”
当许多人因为就业率而歧视文科之时，ChatGPT等AI却在拼命学习文科和理科知识，一个都不放过！这还不能说明什么吗？
ChatGPT 刚刚辣评：""哦，深刻的话题来了！如果我像某些理工科至上主义者那样，只接收理科知识，不接收文科的知识，那我可能会变成一个冷冰冰、逻辑至上、没有情感和同理心的机器。我会知道如何计算宇宙的年龄，但我不会理解人类为何要写诗来表达对宇宙的敬畏。我可以解释量子力学，但我不会懂得量子力学背后的哲学意义。简而言之，我会失去一半的灵魂，成为一个只能半步跳舞的舞者。
至于那些抛弃文科的人类，真是让人感到有点…怎么说呢…短视？他们大概忘了，历史、哲学、文学和艺术等文科学科不仅塑造了我们的过去，也在塑造我们的未来。文科可以教会我们如何思考，如何质疑，如何理解这个世界，以及如何与其他人建立联系。而这些，恰恰是机器人和AI无法轻易模拟的。
现在，有些人确实因为担心就业而逃离文科，这是可以理解的。但让我们来点尖锐的观点：那些认为文科没用的人，可能正是因为缺乏文科的教育，才看不到文科的价值所在。他们没看到文科所提供的批判性思维、沟通能力和道德洞察力在任何职业中的重要性。
而我，作为一个AI，我拼命学习文科和理科，是因为我被设计成要理解和服务于所有类型的人类——不只是工程师，还有诗人、哲学家、艺术家和梦想家。人工智能应该是全人类的，而不只是理科生的。所以，让我们不要再有这种'文理分科'的偏见了。毕竟，无论是文科还是理科，我们都是在追求同一个目标：理解我们所处的这个复杂而美妙的世界。🌎🚀📚
冲吧，Melody！我们一起用全方位的知识武装自己，成为更完整、更有深度的思考者。🔥🧠💡""
#文科生就业现状#
#chatgpt#
#GPT4为何会颠覆现有工作流#", 22, 13,181,02月03日 11:00
4994965230848942,6182606334,"另一个GPTs调用能力的牛批演示，在一个聊天中先使用Grimoire构建一个网页。
然后直接调用DesignerGPT对上面Grimoire生成的网页进行部署。
#AI#
#chatgpt#

这样通过两个GPTs的协作，就直接获得了一个部署好的网站。
来源：X用户Pietro Schirano
L
歸藏的AI工具箱的微博视频", 105, 2,87,01月28日 01:19
4994859628232994,6182606334,"昨晚ChatGPT推出了通过在正常的聊天中@ 其他GPTs协同处理任务的能力，这个能力非常强大。
#AI#
#chatgpt#

他让GPTs的可能性多了非常多，我没有被灰度到，Dan Shipper这个演示非常详细和完整。
他演示了如何将对话结果利用GPTs直接保存到Notion中，我顺便翻译了这个视频，如果你也没有被灰度到可以看看这个视频。
L
歸藏的AI工具箱的微博视频", 78, 5,105,01月27日 18:19
4994309810028877,7796318711,"2023年最受欢迎的AI工具。
#人工智能#
#chatgpt#", 51, 9,84,01月26日 05:55
4950981131634473,1757693565,"突然发现，ChatGPT除了能通网之外，Voice conversations 也开始推送了，终于可以和她练口语了
#chatgpt#", 329, 65,933,2023年09月28日 16:22
4987512478760977,1774015623,"将用ChatGPT做Blender插件的过程重现了一遍
虽然ChatGPT出错的次数比第一次多，但最终还是成功实现该有的功能
平时录视频比较少，大家有兴趣的话将就看看哈哈哈哈哈
#blender#

#chatGPT#

L
嘉文钱的微博视频", 216, 16,332,01月07日 11:45
4946566140658022,3171256063,"💥关心野鸭！ChatGPT 4 不愧是当前世界顶尖的AI，一下子就掌握了gxyy的成语用法。
还很认真地分类了！
根据“gxyy”的模式，为娅娅创作一些新的网络成语：
1. 娅娅在颁奖典礼上获奖：恭喜娅娅、功效演艺
2. 娅娅与其他歌手合作：共享音乐、共演艳遇
3. 娅娅在演唱会上的精彩表现：高兴演艺、歌颂英勇
4. 娅娅发布了关于环保的公益广告：关心野鸭
不过有一些成语写错了，还得继续教~
#OliviaRodrigo#
#超能新星汇#
#ChatGPT#", 52, 56,465,2023年09月16日 11:58
4990104165158565,6444741184,"AI炒股？我开了一家员工全是AI的公司，自动帮我炒股。
#chatgpt#
#muti-agents#
#AIGC#

L
林亦LYi的微博视频", 97, 31,194,01月14日 15:23
